problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          8.30813333 12.46219999],0.6256895336249099,0.636970883285817,8.797639996655196,8.662855857187735
DTLZ1,3,2,50,[0.         1.69595212 6.78380846],0.5640502366089744,0.5646095492112845,8.4638669926628,8.644024636586142
DTLZ1,3,3,50,[0.87171472 1.30757209 0.        ],0.6124333127995094,0.63154060519041,8.939617878108741,8.748113084807764
DTLZ1,3,4,50,[0.39332345 1.17997035 0.39332345],0.5937831494125919,0.6345886077476454,8.846973471131928,7.779793653108484
DTLZ1,3,5,50,[0.54274883 0.81412325 0.        ],0.6365281780879604,0.6258725599180641,8.694541285513731,8.790134724659337
DTLZ1,3,6,50,[0.35751406 0.5362711  0.        ],0.6315372769822818,0.6106025680334642,8.726383060363236,8.75421881146917
DTLZ1,3,7,50,[0.18804323 0.28206484 0.        ],0.627078775876797,0.6247880351456863,8.754128211820774,8.782035626718866
DTLZ2,3,1,50,[3.02022848e-17 1.00197055e+00 0.00000000e+00],0.029316157279532407,0.00635861630556701,7.913314045995995,8.062267217675519
DTLZ2,3,2,50,[0.30990336 0.92971007 0.30990336],0.031892065551511604,0.02837803427421262,8.804551698750036,8.680726393509776
DTLZ2,3,3,50,[0.33531445 0.6706289  0.6706289 ],0.02385186684959448,0.01889125631557945,9.075503679171053,8.957565565922637
DTLZ2,3,4,50,[1.26377582e-17 8.32220539e-01 5.54813693e-01],0.007230721298455169,0.01047873652161466,8.767419519662345,8.792071333877292
DTLZ2,3,5,50,[0.33347042 0.66694083 0.66694083],0.05120054278906762,0.04699478337321208,8.939100540503128,8.902400950023827
DTLZ2,3,6,50,[0.33341531 0.66683062 0.66683062],0.05161030346955529,0.01769392103268894,8.922957575805132,8.973476877894395
DTLZ2,3,7,50,[0.33336771 0.66673542 0.66673542],0.04966954599479362,0.01966525841652212,8.939819315784455,8.987743360015948
DTLZ3,3,1,50,[21.48892356 14.32594904  0.        ],0.02047954673732449,0.12225481475987461,8.886136943609811,7.367124684271112
DTLZ3,3,2,50,[2.39808792e-32 1.06212698e+00 4.24850791e+00],0.06381674110383181,0.016482439436564696,8.398388070935368,8.692249661328235
DTLZ3,3,3,50,[2.39808792e-32 4.08604977e+00 0.00000000e+00],0.427344176132318,0.03610459033213789,5.147807128685429,8.046966045567517
DTLZ3,3,4,50,[0.99802003 0.         3.99208012],0.13549737195486233,0.05557901990892983,7.697100199360611,8.440195261179202
DTLZ3,3,5,50,[1.13776033e-32 2.94784587e+00 7.36961467e-01],0.027798319132364743,0.031615171301637796,8.540096326025704,8.413545667953215
DTLZ3,3,6,50,[1.13776033e-32 9.73195412e-01 2.43298853e-01],0.052324970376845754,0.0679621597390659,8.391198153449691,8.311188476084762
DTLZ3,3,7,50,[1.13776033e-32 9.71605924e-01 2.42901481e-01],0.07065157143736694,0.07021849642629596,8.294109232469575,8.308831387002487
DTLZ4,3,1,50,[4.21496337e-19 1.01375717e+00 0.00000000e+00],0.023101614709221417,0.006776765863502498,7.947629805836721,8.061434529182387
DTLZ4,3,2,50,[0.67143008 0.67143008 0.33571504],0.04953722990441461,0.019159575976759723,8.935646958489599,9.322889885857037
DTLZ4,3,3,50,[0.55569927 0.8335489  0.        ],0.006035553753825853,0.011978228317455807,8.780959497522145,8.800094807525003
DTLZ4,3,4,50,[0.93742887 0.31247629 0.31247629],0.03378995570555906,0.02856508568082512,8.76458960180719,8.700687642983707
DTLZ4,3,5,50,[0.66689939 0.66689939 0.33344969],0.04923646898254462,0.01819551794152149,8.938819144438037,9.123561933499037
DTLZ4,3,6,50,[0.66689939 0.66689939 0.33344969],0.0509852844921367,0.01937132188150138,8.931274816713804,8.98039063096115
DTLZ4,3,7,50,[0.66682829 0.66682829 0.33341414],0.05210528025768075,0.018991120622143642,8.921351125767574,8.990693031944332
