problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 9.80878095  0.         14.71317142],0.62904708968848,0.6386032595271615,8.796654880164557,8.23142239751558
DTLZ1,3,2,50,[3.20800445 2.13866963 0.        ],0.7438992094169481,0.7662839996998955,8.878429540857832,8.7178897386288
DTLZ1,3,3,50,[0.         0.         3.84723789],0.8551158918641685,0.5518424250208325,5.577142142263628,8.056249451544554
DTLZ1,3,4,50,[0.         0.61528798 0.92293197],0.9198317169494268,0.6972857324017934,6.243960207833526,7.976057856139365
DTLZ1,3,5,50,[0.         0.         0.66669889],0.7063986387748639,0.5550518777652645,6.504721263744695,8.00463121768472
DTLZ1,3,6,50,[0.         0.         0.43063828],0.5551981669250285,0.5548955633004229,8.004892614079044,8.006946784558556
DTLZ1,3,7,50,[0.         0.         0.42744244],0.555411402283256,0.5549823342449675,8.006861584293032,8.005115948001148
DTLZ2,3,1,50,[4.09550501e-17 8.36493379e-01 5.57662253e-01],0.005362746790559319,0.00954577172483307,8.798246549054713,8.782377774566944
DTLZ2,3,2,50,[9.28177814e-18 1.00124236e+00 0.00000000e+00],0.009071213798809572,0.007110684427392623,8.079249980126455,8.061062971564276
DTLZ2,3,3,50,[0.30315433 0.30315433 0.909463  ],0.23513844755673066,0.043329586235009675,6.908220856072566,9.457379935353675
DTLZ2,3,4,50,[3.75092153e-33 5.55503968e-01 8.33255952e-01],0.28792289694946205,0.01044380364875666,6.149108779093576,8.79084939920337
DTLZ2,3,5,50,[3.75092153e-33 8.32354920e-01 5.54903280e-01],0.28792289694946205,0.01154223331452928,6.149108779093576,8.287857746014065
DTLZ2,3,6,50,[3.75092153e-33 8.32139342e-01 5.54759561e-01],0.28792289694946205,0.009852961081457327,6.149108779093576,8.287052581529775
DTLZ2,3,7,50,[3.74970442e-33 8.32139342e-01 5.54759561e-01],0.1693951597861459,0.030081183040421393,6.8720957846938875,8.137487505893118
DTLZ3,3,1,50,[21.72214173 21.72214173 10.86107087],0.025281162371381675,0.054823601905239466,9.110372931033188,9.11545375707462
DTLZ3,3,2,50,[3.82357245e-32 7.58639984e+00 1.89659996e+00],0.06819425418686498,0.066797327726507,8.324976731920897,8.164381183277024
DTLZ3,3,3,50,[1.98017559e-32 4.14398634e+00 1.03599658e+00],0.05857371250142546,0.1289205042551468,8.351873701614059,7.671030779204205
DTLZ3,3,4,50,[7.84558776e-33 1.14909715e+00 1.72364573e+00],0.285483783273729,0.019078033430741576,6.163388095485232,8.68462067576439
DTLZ3,3,5,50,[4.76741307e-33 0.00000000e+00 1.01389130e+00],0.045829180129164454,0.06875089173462123,8.00833008760396,8.001583871352217
DTLZ3,3,6,50,[4.76741307e-33 0.00000000e+00 1.00694383e+00],0.047561353439186084,0.04724087787209556,8.007153158394292,8.008536489996839
DTLZ3,3,7,50,[4.76741307e-33 0.00000000e+00 1.00533049e+00],0.044256961088104355,0.050468787790684394,8.007108697138065,8.008102040520553
DTLZ4,3,1,50,[2.40713154e-17 0.00000000e+00 1.00455972e+00],0.008920359116766724,0.005445052154403426,8.082722346222912,8.061381868845473
DTLZ4,3,2,50,[3.75167231e-33 1.00096843e+00 0.00000000e+00],0.02358090843727322,0.006832239264315077,7.947938111442456,8.062777272058513
DTLZ4,3,3,50,[0.66878545 0.33439273 0.66878545],0.0439498805150465,0.054996059099137413,9.062712116630046,8.890784047154717
DTLZ4,3,4,50,[0.83233782 0.         0.55489188],0.006124558754863798,0.01004716833033302,8.774599437898912,8.786466640204688
DTLZ4,3,5,50,[0.66679472 0.33339736 0.66679472],0.046973949469713464,0.046063886691078,8.304248955733774,8.37190914316616
DTLZ4,3,6,50,[0.66679472 0.33339736 0.66679472],0.0500943388145757,0.03261962475524846,8.34087091039638,8.440996094050673
DTLZ4,3,7,50,[0.66679472 0.33339736 0.66679472],0.05111856810053792,0.050510244115857056,8.339170358995236,8.367854577202921
