problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,100,[1.4783634 0.9855756 0.       ],0.7384112597387968,0.7404612631664316,8.815991994125103,8.97309971378554
DTLZ1,3,2,100,[0.         0.         0.51209829],0.5519042456247097,0.5519026146663443,8.079856524208925,8.060320117293685
DTLZ1,3,3,100,[0.         0.50939439 0.        ],0.5518616526957688,0.5519134944651499,8.080575888776478,8.06013826694837
DTLZ1,3,4,100,[0.11344107 0.3403232  0.11344107],0.5976700037958732,0.5939271947750498,8.775695382676982,8.962425464325298
DTLZ1,3,5,100,[0.27189177 0.18126118 0.        ],0.7898555018927095,0.7922418061770703,8.282708865127024,8.248400497339194
DTLZ1,3,6,100,[0.26709959 0.17806639 0.        ],0.7903911020579794,0.792233407140222,8.271094575867368,8.289040593436614
DTLZ1,3,7,100,[0.2668986 0.1779324 0.       ],0.7897657148265712,0.7923816499863343,8.282706250208468,8.283141141669493
DTLZ2,3,1,100,[1.64607101e-17 0.00000000e+00 1.00168051e+00],0.008904940147969834,0.007173034791535127,8.08008462600271,8.060193394166937
DTLZ2,3,2,100,[3.75089446e-33 1.00062124e+00 0.00000000e+00],0.00875441768202537,0.0074576294434960475,8.08027920633372,8.059776872899917
DTLZ2,3,3,100,[1.00017668 0.         0.        ],0.008760940483606964,0.007106259437426416,8.080149154036866,8.05974701949637
DTLZ2,3,4,100,[3.75089446e-33 8.33186537e-01 5.55457691e-01],0.006105576130472955,0.009773211840077138,8.777140680297126,8.7793501030878
DTLZ2,3,5,100,[0.3333683 0.6667366 0.6667366],0.0478799501079041,0.031953413498032865,8.367444139627256,8.449585765266102
DTLZ2,3,6,100,[0.33334939 0.66669878 0.66669878],0.051889703283562905,0.03356380252663948,8.338606961559904,8.454970805605857
DTLZ2,3,7,100,[0.33334162 0.66668325 0.66668325],0.051184638584792365,0.031595991970356195,8.336467219812448,8.465625417736309
DTLZ3,3,1,100,[ 7.81551929 11.72327893  0.        ],0.008908295146184925,0.03674249004355878,8.782422147610433,8.600185012605882
DTLZ3,3,2,100,[7.83158856e-33 2.06548451e+00 0.00000000e+00],0.00862644773423341,0.005899952333825479,8.082413231819412,8.060553663140277
DTLZ3,3,3,100,[0.60368754 0.9055313  0.        ],0.0058824947782751226,0.009753196780927353,8.783973013330561,8.7619466109224
DTLZ3,3,4,100,[0.85430825 0.56953883 0.        ],0.005417088800647034,0.005123784306718699,8.805537859213452,8.825272027931707
DTLZ3,3,5,100,[0.56782138 0.85173206 0.        ],0.008356802191377494,0.009810600888939544,8.280736052834532,8.265985595107573
DTLZ3,3,6,100,[0.55734951 0.83602427 0.        ],0.005764629056062806,0.009982269421472826,8.277666468922883,8.28329559663788
DTLZ3,3,7,100,[0.55684383 0.83526575 0.        ],0.005972071247368254,0.01029335639375111,8.273429019788457,8.225525323683815
DTLZ4,3,1,100,[2.06507860e-17 0.00000000e+00 1.00093207e+00],,0.006372839365557766,,8.05998227700515
DTLZ4,3,2,100,[1.0004831 0.        0.       ],0.05455589655557396,0.005578356265092844,7.85077131841957,8.059223164630968
DTLZ4,3,3,100,[0.24257433 0.         0.97029731],,0.06608148714296605,,8.323410095239835
DTLZ4,3,4,100,[0.55479593 0.         0.8321939 ],,0.010055898871747493,,8.765572698565128
